SORTEREN;Wegbeheerder;Name (verplicht) - max 63 karakters;DescriptiveName (optioneel) - max 63 karakters;Alias (optioneel) - max 255 karakters;Latitude;Longitude;TLC/Inters.;RoadRegulatorID;IntersectionID;TlcIdentifier;UniqueID;Volg-Id;(wordt) iVRI;VRA ID;TLC;ITS applicatie;RIS;UC3;UC4;UC5.1;UC5.2;;
3116701351;Den Haag;K264-1;Laan van Meerdervoort - Laan van Eik en Duinen;;52,0733620;4,2621270;Intersection;31167;1351;;;1351;;;;;;;;;;;
3107701360;Den Haag;K175;De Savornin Lohmanplein - Thorbeckelaan;;52,0675080;4,2460420;TLC;31077;;79650550;34E0A01F-560B-4CC1-A5ED-3EEFE5B50B82;1360;Ja;722661;;Goudappel Coffeng;;;;;;;
3107701361;Den Haag;K175-1;De Savornin Lohmanplein - Thorbeckelaan;;52,0674970;4,2465450;Intersection;31077;1361;;;1361;;;;;;;;;;;
3107701370;Den Haag;K176;De Savornin Lohmanplein - Groen van Prinstererlaan;;52,0669310;4,2443420;TLC;31077;;7965055A;51EC8CB5-A1CE-4468-80EF-10B8C9C093A5;1370;Ja;722660;;Goudappel Coffeng;;;;;;;
3107701371;Den Haag;K176-1;De Savornin Lohmanplein - Groen van Prinstererlaan;;52,0666520;4,2440940;Intersection;31077;1371;;;1371;;;;;;;;;;;
3107701380;Den Haag;K002;Elandstraat - Da Costastraat;;52,0794230;4,2945210;TLC;31077;;79650564;4B8AD75A-3D83-4355-B756-956738A9758F;1380;;LTC87393;;;;;;;;;
3107701381;Den Haag;K002-1;Elandstraat - Da Costastraat;;52,0795260;4,2943810;Intersection;31077;1381;;;1381;;;;;;;;;;;
3107701390;Den Haag;K004;Wouwermanstraat - Vermeerstraat;;52,0633170;4,3074310;TLC;31077;;7965056E;E8FF3D2B-8EDE-4D82-8B83-B467974AE3C4;1390;;728113;;;;;;;;;
3107701391;Den Haag;K004-1;Wouwermanstraat - Vermeerstraat;;52,0634240;4,3072230;Intersection;31077;1391;;;1391;;;;;;;;;;;
3107701400;Den Haag;K007;Beeklaan - Voetgangersoversteekplaats;Beeklaan vop;52,0736420;4,2814570;TLC;31077;;79650578;09770B31-1086-4D83-A762-C45688BE0571;1400;;VT451174;;;;;;;;;
3107701401;Den Haag;K007-1;Beeklaan - Voetgangersoversteekplaats;Beeklaan vop;52,0737270;4,2815710;Intersection;31077;1401;;;1401;;;;;;;;;;;
3107701410;Den Haag;K010;Laan van Meerdervoort - Tasmanstraat;;52,0831440;4,2901960;TLC;31077;;79650582;#GETAL!;1410;;V80700;;;;;;;;;
3107701411;Den Haag;K010-1;Laan van Meerdervoort - Tasmanstraat;;52,0829670;4,2903030;Intersection;31077;1411;;;1411;;;;;;;;;;;
3107701420;Den Haag;K013;Paul Krugerlaan - Pretoriusstraat;;52,0696450;4,2873850;TLC;31077;;7965058C;49A7A0F9-F5CD-4CD4-8313-8BA9FAD6B9AC;1420;;VT451129;;;;;;;;;
3107701421;Den Haag;K013-1;Paul Krugerlaan - Pretoriusstraat;;52,0696870;4,2874650;Intersection;31077;1421;;;1421;;;;;;;;;;;
3107701430;Den Haag;K014;Jurriaan Kokstraat - Keizerstraat;Prins Willemplein;52,1036610;4,2768890;TLC;31077;;79650596;16A79E98-BD95-4EBD-A466-46571AAE30BA;1430;;V80443;;;;;;;;;
3107701431;Den Haag;K014-1;Jurriaan Kokstraat - Keizerstraat;Prins Willemplein;52,1038430;4,2768050;Intersection;31077;1431;;;1431;;;;;;;;;;;
3107701432;Den Haag;K014-2;Drogersdijk - Prins Willemstraat;Prins Willemplein;52,1035140;4,2768930;Intersection;31077;1432;;;1432;;;;;;;;;;;
3107701440;Den Haag;K052;Laan van Meerdervoort - Anna Paulownastraat;;52,0859290;4,2987350;TLC;31077;;796505A0;DC6C363E-853C-4EA1-B731-2B050FCC0B77;1440;;V90742;;;;;;;;;
3107701441;Den Haag;K052-1;Laan van Meerdervoort - Anna Paulownastraat;;52,0860280;4,2985340;Intersection;31077;1441;;;1441;;;;;;;;;;;
3107701450;Den Haag;K056;Monstersestraat - \'s-Gravenzandelaan;;52,0701740;4,2941480;TLC;31077;;796505AA;09D27004-0ADF-4A5F-81B9-59F9B2F25C0F;1450;;VT450278;;;;;;;;;
3107701451;Den Haag;K056-1;Monstersestraat - \'s-Gravenzandelaan;;52,0702350;4,2938850;Intersection;31077;1451;;;1451;;;;;;;;;;;
3107701452;Den Haag;K056-2;Monstersestraat - \'s-Gravenzandelaan;;52,0703620;4,2938330;Intersection;31077;1452;;;1452;;;;;;;;;;;
3107701460;Den Haag;K066;Laan van Meerdervoort - Zoutmanstraat;;52,0841720;4,2923970;TLC;31077;;796505B4;D7DA43FE-0722-4D36-97BD-6A89A79903DC;1460;;V90170;;;;;;;;;
3107701461;Den Haag;K066-1;Laan van Meerdervoort - Zoutmanstraat;;52,0840650;4,2926070;Intersection;31077;1461;;;1461;;;;;;;;;;;
3107701470;Den Haag;K067;Laan van Nieuw Oost-Indië - Schenkkade;;52,0811590;4,3433180;TLC;31077;;796505BE;326E7B4E-9398-447B-9652-E8B5AD576C8C;1470;;VT451128;;;;;;;;;
3107701471;Den Haag;K067-1;Laan van Nieuw Oost-Indië - Schenkkade;;52,0811770;4,3429950;Intersection;31077;1471;;;1471;;;;;;;;;;;
3107701472;Den Haag;K067-2;Laan van Nieuw Oost-Indië - Schenkkade;;52,0808030;4,3434180;Intersection;31077;1472;;;1472;;;;;;;;;;;
3107701480;Den Haag;K068;Laan van Nieuw Oost-Indië - Bezuidenhoutseweg;;52,0880090;4,3347160;TLC;31077;;796505C8;F88649B7-7C91-4339-8545-A32B8D39103B;1480;;v20479;;;;;;;;;
3107701481;Den Haag;K068-1;Laan van Nieuw Oost-Indië - Bezuidenhoutseweg;;52,0880210;4,3346070;Intersection;31077;1481;;;1481;;;;;;;;;;;
3107701490;Den Haag;K077;Juliana van Stolberglaan - Louise Henriëttestraat;;52,0825490;4,3347060;TLC;31077;;796505D2;8F3D3B6E-D5F6-4156-9FE4-7996A6C9DD8B;1490;;V90843;;;;;;;;;
3107701491;Den Haag;K077-1;Juliana van Stolberglaan - Louise Henriëttestraat;;52,0826860;4,3345610;Intersection;31077;1491;;;1491;;;;;;;;;;;
3107701500;Den Haag;K079;Rijswijkseweg - Jan van der Heijdenstraat ;;52,0597750;4,3354240;TLC;31077;;796505DC;6B205DB3-28FD-4319-898D-12AF7D5CDDB4;1500;;200305;;;;;;;;;
3107701501;Den Haag;K079-1;Rijswijkseweg - Jan van der Heijdenstraat ;;52,0597330;4,3350160;Intersection;31077;1501;;;1501;;;;;;;;;;;
3107701510;Den Haag;K080;Rijswijkseweg - Van Musschenbroekstraat;;52,0650350;4,3295150;TLC;31077;;796505E6;509F02E8-7A2C-4E52-AB84-8023DFB87757;1510;;V90186;;;;;;;;;
3107701511;Den Haag;K080-1;Rijswijkseweg - Van Musschenbroekstraat;;52,0651760;4,3298890;Intersection;31077;1511;;;1511;;;;;;;;;;;
3107701520;Den Haag;K081;Laan van Nieuw Oost-Indië - Theresiastraat;;52,0860460;4,3370750;TLC;31077;;796505F0;34444F41-4BCD-4F27-8D2D-03CCDEEAB242;1520;;V90790;;;;;;;;;
3107701521;Den Haag;K081-1;Laan van Nieuw Oost-Indië - Theresiastraat;;52,0862370;4,3371070;Intersection;31077;1521;;;1521;;;;;;;;;;;
3107701530;Den Haag;K083;Genestetlaan - Goeverneurlaan;Jonckbloetplein ;52,0586980;4,3215590;TLC;31077;;796505FA;85F07D6E-144E-4917-A1B6-8550E2BAE256;1530;;VT450944;;;;;;;;;
3107701531;Den Haag;K083-1;Genestetlaan - Goeverneurlaan;Jonckbloetplein ;52,0584880;4,3215480;Intersection;31077;1531;;;1531;;;;;;;;;;;
3107701540;Den Haag;K084;Edisonstraat - Valkenboslaan;Copernicusplein ;52,0761210;4,2755770;TLC;31077;;79650604;7CE1E65C-954D-41A4-B135-55093E57729B;1540;;V90139;;;;;;;;;
3107701541;Den Haag;K084-1;Edisonstraat - Valkenboslaan;Copernicusplein ;52,0760070;4,2752610;Intersection;31077;1541;;;1541;;;;;;;;;;;
3107701550;Den Haag;K090;Laan van Nieuw Oost-Indië - Anna van Hannoverstraat;;52,0801940;4,3444760;TLC;31077;;7965060E;6EA84922-4200-4E7D-97FA-425AD102B51D;1550;;VT450884;;;;;;;;;
3107701551;Den Haag;K090-1;Laan van Nieuw Oost-Indië - Anna van Hannoverstraat;;52,0800220;4,3443340;Intersection;31077;1551;;;1551;;;;;;;;;;;
3107701560;Den Haag;K099;Melis Stokelaan - Vrederustlaan;;52,0395770;4,2667520;TLC;31077;;79650618;AF6C0848-ACBD-4B80-8565-209AA68143A2;1560;;VT451117;;;;;;;;;
3107701561;Den Haag;K099-1;Melis Stokelaan - Vrederustlaan;;52,0395920;4,2671230;Intersection;31077;1561;;;1561;;;;;;;;;;;
3107701570;Den Haag;K100;Melis Stokelaan - Beresteinlaan;;52,0368630;4,2612610;TLC;31077;;79650622;06D76689-406C-4F47-A79D-339478431BCF;1570;;VT450885;;;;;;;;;
3107701571;Den Haag;K100-1;Melis Stokelaan - Beresteinlaan;;52,0367170;4,2617010;Intersection;31077;1571;;;1571;;;;;;;;;;;
3107701580;Den Haag;K109;De la Reyweg - Kempstraat ;;52,0635370;4,2896770;TLC;31077;;7965062C;FB0E368A-3E1E-412A-A9D1-87D4C69FA6FC;1580;;V90682;;;;;;;;;
3107701581;Den Haag;K109-1;De la Reyweg - Kempstraat ;;52,0636820;4,2895870;Intersection;31077;1581;;;1581;;;;;;;;;;;
3107701590;Den Haag;K111;Meppelweg - Leyweg;;52,0536040;4,2707850;TLC;31077;;79650636;1102E9DA-6D8B-452B-982E-C046C737E743;1590;;VT450886;;;;;;;;;
3107701591;Den Haag;K111-1;Meppelweg - Leyweg;;52,0535010;4,2705810;Intersection;31077;1591;;;1591;;;;;;;;;;;
3107701600;Den Haag;K112;Hoefkade - Koningstraat;;52,0688170;4,3142320;TLC;31077;;79650640;87A34E0B-502E-44D4-8635-ADCDB07A439B;1600;;V80003;;;;;;;;;
3107701601;Den Haag;K112-1;Hoefkade - Koningstraat;;52,0687740;4,3144410;Intersection;31077;1601;;;1601;;;;;;;;;;;
3107701610;Den Haag;K114;Piet Heinstraat - Anna Paulownastraat;Piet Heinplein ;52,0827620;4,3011110;TLC;31077;;7965064A;3775D1CA-4B3C-46BE-B5DB-2C4A8F05F43E;1610;;VT450280;;;;;;;;;
3107701611;Den Haag;K114-1;Piet Heinstraat - Anna Paulownastraat;Piet Heinplein ;52,0828850;4,3011510;Intersection;31077;1611;;;1611;;;;;;;;;;;
3107701612;Den Haag;K114-2;Elandstraat - Prinsessewal;Piet Heinplein ;52,0826010;4,3014340;Intersection;31077;1612;;;1612;;;;;;;;;;;
3107701620;Den Haag;K116;Wassenaarseweg - Van Hogenhoucklaan;;52,0940420;4,3237910;TLC;31077;;79650654;140E624B-0CC4-4948-A65B-B3164B5BCB7E;1620;;V90799;;;;;;;;;
3107701621;Den Haag;K116-1;Wassenaarseweg - Van Hogenhoucklaan;;52,0939140;4,3237020;Intersection;31077;1621;;;1621;;;;;;;;;;;
3107701630;Den Haag;K121;Zoutmanstraat - Elandstraat ;;52,0803720;4,2969510;TLC;31077;;7965065E;48309289-07E4-4282-8739-7848F2B0CA98;1630;;V90829;;;;;;;;;
3107701631;Den Haag;K121-1;Zoutmanstraat - Elandstraat ;;52,0805180;4,2968090;Intersection;31077;1631;;;1631;;;;;;;;;;;
3107701640;Den Haag;K122;Meppelweg - Dedemsvaartweg;;52,0507520;4,2635420;TLC;31077;;79650668;6786366D-CF3C-4E62-BCC6-433401029C56;1640;;V90735;;;;;;;;;
3107701641;Den Haag;K122-1;Meppelweg - Dedemsvaartweg;;52,0504730;4,2631950;Intersection;31077;1641;;;1641;;;;;;;;;;;
3107701642;Den Haag;K122-2;Dedemsvaartweg - Zuidwoldestraat;;52,0511470;4,2623410;Intersection;31077;1642;;;1642;;;;;;;;;;;
3107701650;Den Haag;K123;Laan van Meerdervoort - Zonnebloemstraat;;52,0713080;4,2564540;TLC;31077;;79650672;3B80DC02-0FF3-4F80-BCAC-C266AEC6BF26;1650;;VT451329;;;;;;;;;
3107701651;Den Haag;K123-1;Laan van Meerdervoort - Zonnebloemstraat;;52,0712160;4,2563410;Intersection;31077;1651;;;1651;;;;;;;;;;;
3107701660;Den Haag;K125;Hoefkade - De Heemstraat;Hoflandplein;52,0627260;4,3016680;TLC;31077;;7965067C;5593D5CB-3EB6-4AD8-BF75-F03660C3EF5B;1660;;VT450998;;;;;;;;;
3107701661;Den Haag;K125-1;Hoefkade - De Heemstraat;Hoflandplein;52,0628550;4,3015970;Intersection;31077;1661;;;1661;;;;;;;;;;;
3107701670;Den Haag;K129;Wassenaarseweg - Jozef Israëlsplein;;52,0921010;4,3192030;TLC;31077;;79650686;5E4C7850-2291-4021-88AB-10C8598B7539;1670;;V90831;;;;;;;;;
3107701671;Den Haag;K129-1;Wassenaarseweg - Jozef Israëlsplein;;52,0922190;4,3190810;Intersection;31077;1671;;;1671;;;;;;;;;;;
3107701680;Den Haag;K130;Laan van Meerdervoort - Conradkade;;52,0808680;4,2832890;TLC;31077;;79650690;E3024D91-7761-489B-8229-2D194B3B9030;1680;;V80693;;;;;;;;;
3107701681;Den Haag;K130-1;Laan van Meerdervoort - Conradkade;;52,0807450;4,2836870;Intersection;31077;1681;;;1681;;;;;;;;;;;
3107701690;Den Haag;K135;Prinsegracht - Jan Hendrikstraat;;52,0750510;4,3082450;TLC;31077;;7965069A;AD24088B-710E-4A69-8677-418921078ED8;1690;;FR901258;;;;;;;;;
3107701691;Den Haag;K135-1;Prinsegracht - Jan Hendrikstraat;;52,0751670;4,3081020;Intersection;31077;1691;;;1691;;;;;;;;;;;
3107701700;Den Haag;K138;Prinsegracht - Brouwersgracht ;;52,0738180;4,3046990;TLC;31077;;796506A4;61DD2384-D4C9-46F9-BF4B-E17CFDCACE37;1700;;VT451364;;;;;;;;;
3107701701;Den Haag;K138-1;Prinsegracht - Brouwersgracht ;;52,0740330;4,3049950;Intersection;31077;1701;;;1701;;;;;;;;;;;
3107701710;Den Haag;K147;Hengelolaan - Dedemsvaartweg;;52,0472740;4,2683530;TLC;31077;;796506AE;071BA218-B554-4792-807A-A2B202540239;1710;;VT451162;;;;;;;;;
3107701711;Den Haag;K147-1;Hengelolaan - Dedemsvaartweg;;52,0473420;4,2680180;Intersection;31077;1711;;;1711;;;;;;;;;;;
3107701720;Den Haag;K148;Loevesteinlaan - Hengelolaan;;52,0524310;4,2786910;TLC;31077;;796506B8;E6C1E125-1971-44C9-88A2-F3085ABC142B;1720;;V80602;;;;;;;;;
3107701721;Den Haag;K148-1;Loevesteinlaan - Hengelolaan;;52,0526680;4,2787170;Intersection;31077;1721;;;1721;;;;;;;;;;;
3107701730;Den Haag;K149;Loevesteinlaan - Steenwijklaan;;52,0465410;4,2869460;TLC;31077;;796506C2;9AC83EC8-A66E-442F-BDCE-2367BFA914D9;1730;;FR940326;;;;;;;;;
3107701731;Den Haag;K149-1;Loevesteinlaan - Steenwijklaan;;52,0467980;4,2869860;Intersection;31077;1731;;;1731;;;;;;;;;;;
3107701740;Den Haag;K152;Driebergenstraat - Soestdijksekade ;;52,0618740;4,2740290;TLC;31077;;796506CC;0074BF12-996C-458B-8550-EB76CDCAAE80;1740;;V90290;;;;;;;;;
3107701741;Den Haag;K152-1;Ijsselsteinstaat - Soestdijksekade ;;52,0615920;4,2740450;Intersection;31077;1741;;;1741;;;;;;;;;;;
3107701742;Den Haag;K152-2;Driebergenstraat - Veenendaalkade ;;52,0612720;4,2736410;Intersection;31077;1742;;;1742;;;;;;;;;;;
3107701743;Den Haag;K152-3;Volendamlaan - Soestdijksekade ;;52,0620620;4,2733510;Intersection;31077;1743;;;1743;;;;;;;;;;;
3107701750;Den Haag;K155;Escamplaan - Soestdijksekade;;52,0630810;4,2732990;TLC;31077;;796506D6;3C33814A-F7B1-4B5F-9B2A-60C8B2273CA1;1750;;V90264;;;;;;;;;
3107701751;Den Haag;K155-1;Escamplaan - Soestdijksekade;;52,0632950;4,2733030;Intersection;31077;1751;;;1751;;;;;;;;;;;
3107701752;Den Haag;K155-2;Escamplaan - Soestdijksekade;;52,0631060;4,2727510;Intersection;31077;1752;;;1752;;;;;;;;;;;
3107701760;Den Haag;K157;Volendamlaan - Escamplaan;Monnikendamplein;52,0621669;4,2710844;TLC;31077;;796506E0;D1553E4C-1925-4941-A129-2AD7175138A2;1760;;V90266;;;;;;;;;
3107701761;Den Haag;K157-1;Volendamlaan - Escamplaan;Monnikendamplein;52,0624160;4,2710340;Intersection;31077;1761;;;1761;;;;;;;;;;;
3107701770;Den Haag;K161;Groot Hertoginnelaan - Conradkade;;52,0824370;4,2767720;TLC;31077;;796506EA;E2748F1C-CBAE-4C38-99D2-42749B2999F6;1770;;V90268;;;;;;;;;
3107701771;Den Haag;K161-1;Groot Hertoginnelaan - Conradkade;;52,0823740;4,2771340;Intersection;31077;1771;;;1771;;;;;;;;;;;
3107701780;Den Haag;K164;Parallelweg - Jacob Catsstraat;;52,0659750;4,3143680;TLC;31077;;796506F4;AC0F14B9-0426-4970-9E67-DA1BE83C6EDA;1780;;V90553;;;;;;;;;
3107701781;Den Haag;K164-1;Parallelweg - Jacob Catsstraat;;52,0659630;4,3144950;Intersection;31077;1781;;;1781;;;;;;;;;;;
3107701790;Den Haag;K165;Laan van Meerdervoort - Aaltje Noorderwierstraat;;52,0623760;4,2305330;TLC;31077;;796506FE;03C495A8-B845-456B-B00A-BDDDC675E40C;1790;;FR940247;;;;;;;;;
3107701791;Den Haag;K165-1;Laan van Meerdervoort - Aaltje Noorderwierstraat;;52,0624070;4,2302620;Intersection;31077;1791;;;1791;;;;;;;;;;;
3107701800;Den Haag;K168;Kamperfoeliestraat - Mient;;52,0705685;4,2681224;TLC;31077;;79650708;9A115BAB-AFE5-4FEC-B502-95B8766C021D;1800;;FR900839;;;;;;;;;
3107701801;Den Haag;K168-1;Kamperfoeliestraat - Mient;;52,0706210;4,2678750;Intersection;31077;1801;;;1801;;;;;;;;;;;
3107701810;Den Haag;K171;Beeklaan - Weimarstraat;;52,0755062;4,2802248;TLC;31077;;79650712;A7E2EA43-4316-44CB-B044-0E5CA34F785F;1810;;V90632;;;;;;;;;
3107701811;Den Haag;K171-1;Beeklaan - Weimarstraat;;52,0753240;4,2801740;Intersection;31077;1811;;;1811;;;;;;;;;;;
3107701820;Den Haag;K177;Meppelweg - Bouwlustlaan - Zichtenburglaan;;52,0456320;4,2551340;TLC;31077;;7965071C;7F7EA124-5697-4FC5-995D-1875AD623BD6;1820;;V80543;;;;;;;;;
3107701821;Den Haag;K177-1;Meppelweg - Bouwlustlaan;;52,0457330;4,2547910;Intersection;31077;1821;;;1821;;;;;;;;;;;
3107701822;Den Haag;K177-2;Meppelweg - Zichtenburglaan;;52,0453760;4,2542310;Intersection;31077;1822;;;1822;;;;;;;;;;;
3107701830;Den Haag;K187;Leyweg - Escamplaan;;52,0586580;4,2640610;TLC;31077;;79650726;02EC7672-7901-4DE9-87AA-FF410F290293;1830;;FR940281;;;;;;;;;
3107701831;Den Haag;K187-1;Leyweg - Escamplaan;;52,0586070;4,2644660;Intersection;31077;1831;;;1831;;;;;;;;;;;
3107701840;Den Haag;K188;Leyweg - Florence Nightingaleweg;;52,0557254;4,2673766;TLC;31077;;79650730;1737C24F-CC7A-4B1E-8D91-9921ABEB041F;1840;;FR940339;;;;;;;;;
3107701841;Den Haag;K188-1;Leyweg - Florence Nightingaleweg;;52,0560420;4,2675370;Intersection;31077;1841;;;1841;;;;;;;;;;;
3107701842;Den Haag;K188-2;Leyweg - Florence Nightingaleweg;;52,0563490;4,2667920;Intersection;31077;1842;;;1842;;;;;;;;;;;
3107701850;Den Haag;K192;Wassenaarseweg - Oostduinlaan;;52,0910930;4,3163590;TLC;31077;;7965073A;CA177386-40D9-4238-9E0B-4DA26A7AEAC8;1850;;V90741;;;;;;;;;
3107701851;Den Haag;K192-1;Wassenaarseweg - Oostduinlaan;;52,0910578;4,3158403;Intersection;31077;1851;;;1851;;;;;;;;;;;
3107701860;Den Haag;K195;De la Reyweg - Dierenselaan;;52,0673330;4,2863501;TLC;31077;;79650744;E56359F5-8550-4E80-92AF-E352024ED288;1860;;V90563;;;;;;;;;
3107701861;Den Haag;K195-1;De la Reyweg - Dierenselaan;;52,0672850;4,2867995;Intersection;31077;1861;;;1861;;;;;;;;;;;
3107701870;Den Haag;K201;Bezuidenhoutseweg - Hofzichtlaan;;52,0988140;4,3588890;TLC;31077;;7965074E;C9441D8C-A56E-44FA-BB28-AC4115D52658;1870;;V90548;;;;;;;;;
3107701871;Den Haag;K201-1;Bezuidenhoutseweg - Hofzichtlaan;;52,0991077;4,3588304;Intersection;31077;1871;;;1871;;;;;;;;;;;
3107701880;Den Haag;K202;Hofzichtlaan - Diamanthorst;;52,0967880;4,3608950;TLC;31077;;79650758;ABB24A71-9143-42A3-93A7-8067722E6E92;1880;;V90549;;;;;;;;;
3107701881;Den Haag;K202-1;Hofzichtlaan - Diamanthorst;;52,0967567;4,3611903;Intersection;31077;1881;;;1881;;;;;;;;;;;
3107701890;Den Haag;K203;Hofzichtlaan - Het Kleine Loo;;52,0939070;4,3632710;TLC;31077;;79650762;6F0E060F-A1C9-4A38-8DE2-F5DDE1ED3F81;1890;;VT450285 ;;;;;;;;;
3107701891;Den Haag;K203-1;Hofzichtlaan - Het Kleine Loo;;52,0941939;4,3633490;Intersection;31077;1891;;;1891;;;;;;;;;;;
3107701900;Den Haag;K204;Hofzichtlaan - Aegonplein;Aegonplein;52,0908001;4,3663320;TLC;31077;;7965076C;6D7C16A8-0A50-491F-AC7F-2277A2C94E7B;1900;;V90302;;;;;;;;;
3107701901;Den Haag;K204-1;Hofzichtlaan - Aegonplein;;52,0907170;4,3668550;Intersection;31077;1901;;;1901;;;;;;;;;;;
3107701902;Den Haag;K204-2;Hofzichtlaan - Finnenburg;;52,0914970;4,3659290;Intersection;31077;1902;;;1902;;;;;;;;;;;
3107701910;Den Haag;K210;Hobbemaplein - Heemstraat;Hobbemaplein;52,0668910;4,2972740;TLC;31077;;79650776;4A9EE743-81CA-4793-8B38-4499BBE66661;1910;;V90192;;;;;;;;;
3107701911;Den Haag;K210-1;Hobbemaplein - Heemstraat;Hobbemaplein;52,0670150;4,2974940;Intersection;31077;1911;;;1911;;;;;;;;;;;
3107701912;Den Haag;K210-2;Hobbemastraat - Ruijsdaelstraat;Hobbemaplein;52,0672910;4,2978970;Intersection;31077;1912;;;1912;;;;;;;;;;;
3107701920;Den Haag;K212;Kempstraat - Schalk Burgerstraat;;52,0650201;4,2933420;TLC;31077;;79650780;08628865-F2DB-4432-93B2-76C40DCE7CFF;1920;;V90801;;;;;;;;;
3107701921;Den Haag;K212-1;Kempstraat - Schalk Burgerstraat;;52,0652541;4,2934801;Intersection;31077;1921;;;1921;;;;;;;;;;;
3107701922;Den Haag;K212-2;Kaapstraat - Schalk Burgerstraat;;52,0650090;4,2935610;Intersection;31077;1922;;;1922;;;;;;;;;;;
3107701930;Den Haag;K215;Parallelweg - Fruitweg;;52,0612670;4,3084480;TLC;31077;;7965078A;C7DA8DB2-281C-4320-9EBD-95989D8634ED;1930;;V90554;;;;;;;;;
3107701931;Den Haag;K215-1;Parallelweg - Fruitweg;;52,0615671;4,3080759;Intersection;31077;1931;;;1931;;;;;;;;;;;
3107701932;Den Haag;K215-2;Fruitweg - Groenteweg;;52,0107900;4,3082700;Intersection;31077;1932;;;1932;;;;;;;;;;;
3107701940;Den Haag;K216;Fruitweg - Viaduktweg;;52,0589240;4,3066390;TLC;31077;;79650794;B87D3EEA-83C6-409D-B532-DC7FB3A96257;1940;;VT450942;;;;;;;;;
3107701941;Den Haag;K216-1;Fruitweg - Viaduktweg;;52,0588986;4,3063196;Intersection;31077;1941;;;1941;;;;;;;;;;;
3107701950;Den Haag;K217;Troelstrakade - Fruitweg;;52,0566290;4,3030350;TLC;31077;;7965079E;A5FB613D-7C0D-4949-95E5-53BB542322B6;1950;;V90802;;;;;;;;;
3107701951;Den Haag;K217-1;Troelstrakade - Fruitweg;;52,0565719;4,3024139;Intersection;31077;1951;;;1951;;;;;;;;;;;
3107701960;Den Haag;K218;Melis Stokelaan - Anna Bijnslaan;;52,0555440;4,2999920;TLC;31077;;796507A8;C9D3CC04-E579-4CDF-AC8D-8132FE88442B;1960;;V90803;;;;;;;;;
3107701961;Den Haag;K218-1;Melis Stokelaan - Anna Bijnslaan;;52,0556094;4,2997284;Intersection;31077;1961;;;1961;;;;;;;;;;;
3107701970;Den Haag;K221;Melis Stokelaan - Loevesteinlaan;;52,0484636;4,2839814;TLC;31077;;796507B2;703E24CA-91DE-4823-9210-2F59F8AC96D3;1970;;FR940293;;;;;;;;;
3107701971;Den Haag;K221-1;Melis Stokelaan - Loevesteinlaan;;52,0486530;4,2843270;Intersection;31077;1971;;;1971;;;;;;;;;;;
3107701980;Den Haag;K223;Melis Stokelaan - Dedemsvaartweg;;52,0432180;4,2736580;TLC;31077;;796507BC;E2E7C927-DE3A-4984-92EB-F95588405A62;1980;;V20412;;;;;;;;;
3107701981;Den Haag;K223-1;Melis Stokelaan - Dedemsvaartweg;;52,0432470;4,2739720;Intersection;31077;1981;;;1981;;;;;;;;;;;
3107701990;Den Haag;K232;Loevesteinlaan - Vreeswijkstraat;Almeloplein;52,0567710;4,2753830;TLC;31077;;796507C6;BD1189F0-02EC-4C08-9DA8-7A685162A222;1990;;V90804;;;;;;;;;
3107701991;Den Haag;K232-1;Driebergenstraat - Vreeswijkstraat;Almeloplein;52,0569410;4,2748601;Intersection;31077;1991;;;1991;;;;;;;;;;;
3107701992;Den Haag;K232-2;Loevensteinlaan - Almeloplein;Almeloplein;52,0560990;4,2756570;Intersection;31077;1992;;;1992;;;;;;;;;;;
3107702000;Den Haag;K236;Jurriaan Kokstraat - Marcelisstraat;;52,1055820;4,2773710;TLC;31077;;796507D0;2C002740-1459-4A94-955D-A3A3EE4F3357;2000;;V90793;;;;;;;;;
3107702001;Den Haag;K236-1;Jurriaan Kokstraat - Marcelisstraat;;52,1055160;4,2772240;Intersection;31077;2001;;;2001;;;;;;;;;;;
3107702010;Den Haag;K237;Thorbeckelaan - Appelstraat;;52,0646950;4,2530120;TLC;31077;;796507DA;35156F13-89AA-4AAB-8E43-46E2D57BA15D;2010;;VT451160;;;;;;;;;
3107702011;Den Haag;K237-1;Thorbeckelaan - Appelstraat;;52,0645840;4,2529210;Intersection;31077;2011;;;2011;;;;;;;;;;;
3107702012;Den Haag;K237-2;Thorbeckelaan - Appelstraat;;52,0644620;4,2529070;Intersection;31077;2012;;;2012;;;;;;;;;;;
3107702020;Den Haag;K240;Jan van der Heijdenstraat - Pasteurstraat;;52,0600440;4,3315980;TLC;31077;;796507E4;D11203F4-9156-49D6-BE4E-282169C2BD71;2020;;VT451288;;;;;;;;;
3107702021;Den Haag;K240-1;Jan van der Heijdenstraat - Pasteurstraat;;52,0599899;4,3313290;Intersection;31077;2021;;;2021;;;;;;;;;;;
3107702030;Den Haag;K247;Schedeldoekshaven - Nieuwe Haven;;52,0772780;4,3206950;TLC;31077;;796507EE;FA278E36-C174-4931-8DAB-4926C7050FC8;2030;;V90550;;;;;;;;;
3107702031;Den Haag;K247-1;Schedeldoekshaven - Nieuwe Haven;;52,0774660;4,3200096;Intersection;31077;2031;;;2031;;;;;;;;;;;
3107702032;Den Haag;K247-2;Schedeldoekshaven - Nieuwe Haven;;52,0772630;4,3203810;Intersection;31077;2032;;;2032;;;;;;;;;;;
