SORTEREN;Wegbeheerder;Name (verplicht) - max 63 karakters;DescriptiveName (optioneel) - max 63 karakters;Alias (optioneel) - max 255 karakters;Latitude;Longitude;TLC/Inters.;RoadRegulatorID;IntersectionID;TlcIdentifier;UniqueID;Volg-Id;(wordt) iVRI;VRA ID;TLC;ITS applicatie;RIS;UC3;UC4;UC5.1;UC5.2;;
3101000201;Almelo;K3043;Bleskolksingel - Vriezenveenseweg;;52,3784590;6,6647560;Intersection;31010;201;;;201;;;;;;;;;;;
3101000210;Almelo;iV3044;van Rechteren Limpurgsingel-Bleskolksingel-Stins;;52,3787940;6,6689290;TLC;31010;;792200D2;6AC09D35-42D3-485F-86E3-52418AC87858;210;Ja;;Vialis;Sweco;Sweco;Ja;Ja;Ja;Ja;;
3101000211;Almelo;K3044;van Rechteren Limpurgsingel-Bleskolksingel-Stins;;52,3788760;6,6684740;Intersection;31010;211;;;211;;;;;;;;;;;
3101000220;Almelo;iV3020;Bleskolksingel - Burgemeester Schneiderssingel;;52,3740160;6,6520270;TLC;31010;;792200DC;A22D0C4D-272F-4C91-A222-19338A62D818;220;Ja;;Vialis;Sweco;Sweco;Ja;Ja;Ja;Ja;;
3101000221;Almelo;K3020WP;Bleskolksingel - van Weerden Poelmanweg;;52,3729120;6,6495050;Intersection;31010;221;;;221;;;;;;;;;;;
3101000222;Almelo;K3020BS;Bleskolksingel - Burgemeester Schneiderssingel;;52,3742250;6,6519360;Intersection;31010;222;;;222;;;;;;;;;;;
3101000230;Almelo;iV3029;Schuilenburgsingel - Jollesweg;;52,3663200;6,6366490;TLC;31010;;792200E6;2EA8454F-F9F6-470B-91C3-4B21CC47797C;230;Ja;;Vialis;Sweco;Sweco;Ja;Ja;Ja;Ja;;
3101000231;Almelo;K3029;Schuilenburgsingel - Jollesweg;;52,3660470;6,6366100;Intersection;31010;231;;;231;;;;;;;;;;;
3101000240;Almelo;iV3030;Wierdensestraat-Weezebeeksingel-Schuilenburgsingel;;52,3560790;6,6253660;TLC;31010;;792200F0;DDBA788D-5E26-4802-AA0B-6960F9513835;240;Ja;;Vialis;Sweco;Sweco;Ja;Ja;Ja;Ja;;
3101000241;Almelo;K3030;Wierdensestraat-Weezebeeksingel-Schuilenburgsingel;;52,3559130;6,6249420;Intersection;31010;241;;;241;;;;;;;;;;;
3101000250;Almelo;iV3046;Weezebeeksingel-Buitenhavenweg;;52,3515560;6,6250030;TLC;31010;;792200FA;2609EA68-5764-4A7F-9602-875075BB2F7E;250;Ja;;Vialis;Sweco;Sweco;Ja;Ja;Ja;Ja;;
3101000251;Almelo;K3046;Weezebeeksingel-Buitenhavenweg;;52,3514170;6,6244580;Intersection;31010;251;;;251;;;;;;;;;;;
3101000260;Almelo;iV3036;Weezebeeksingel - Windmolenbroeksweg - Soeteman;;52,3405520;6,6374950;TLC;31010;;79220104;C377A90E-578D-42F0-91A0-80C0ABB8C472;260;Ja;;Vialis;Sweco;Sweco;Ja;Ja;Ja;Ja;;
